Year,Month,Day,Frequency,Due Time
2019,Jan,02,Biweekly,15:30
2019,Jan,14,Biweekly,15:30
2019,Jan,23,Monthly,15:30
2019,Jan,28,Biweekly,15:30
2019,Feb,11,Biweekly,15:30
2019,Feb,20,Monthly,15:30
2019,Feb,25,Biweekly,15:30
2019,Mar,11,Biweekly,15:30
2019,Mar,21,Monthly,15:30
2019,Mar,25,Biweekly,15:30
2019,Apr,08,Biweekly,15:30
2019,Apr,22,Biweekly,15:30
2019,Apr,22,Monthly,15:30
2019,May,06,Biweekly,15:30
2019,May,20,Biweekly,15:30
2019,May,22,Monthly,15:30
2019,Jun,03,Biweekly,15:30
2019,Jun,17,Biweekly,15:30
2019,Jun,20,Monthly,15:30
2019,Jul,01,Biweekly,15:30
2019,Jul,15,Biweekly,15:30
2019,Jul,23,Monthly,15:30
2019,Jul,29,Biweekly,15:30
2019,Aug,12,Biweekly,15:30
2019,Aug,21,Monthly,15:30
2019,Aug,26,Biweekly,15:30
2019,Sep,09,Biweekly,15:30
2019,Sep,20,Monthly,15:30
2019,Sep,23,Biweekly,15:30
2019,Oct,07,Biweekly,15:30
2019,Oct,21,Biweekly,15:30
2019,Oct,23,Monthly,15:30
2019,Nov,04,Biweekly,15:30
2019,Nov,18,Biweekly,15:30
2019,Nov,18,Monthly,15:30
2019,Dec,02,Biweekly,15:30
2019,Dec,13,Biweekly,15:30
2019,Dec,20,Monthly,15:30
2019,Dec,27,Biweekly,15:30
