Year,Month,Day,Frequency,Due Time
2019,Jan,03,Biweekly,15:30
2019,Jan,16,Biweekly,15:30
2019,Jan,23,Monthly,15:30
2019,Jan,30,Biweekly,15:30
2019,Feb,13,Biweekly,15:30
2019,Feb,20,Monthly,15:30
2019,Feb,27,Biweekly,15:30
2019,Mar,13,Biweekly,15:30
2019,Mar,21,Monthly,15:30
2019,Mar,27,Biweekly,15:30
2019,Apr,10,Biweekly,15:30
2019,Apr,22,Monthly,15:30
2019,Apr,24,Biweekly,15:30
2019,May,08,Biweekly,15:30
2019,May,22,Biweekly,15:30
2019,May,22,Monthly,15:30
2019,Jun,05,Biweekly,15:30
2019,Jun,19,Biweekly,15:30
2019,Jun,20,Monthly,15:30
2019,Jul,03,Biweekly,15:30
2019,Jul,17,Biweekly,15:30
2019,Jul,23,Monthly,15:30
2019,Jul,31,Biweekly,15:30
2019,Aug,14,Biweekly,15:30
2019,Aug,21,Monthly,15:30
2019,Aug,28,Biweekly,15:30
2019,Sep,11,Biweekly,15:30
2019,Sep,20,Monthly,15:30
2019,Sep,25,Biweekly,15:30
2019,Oct,09,Biweekly,15:30
2019,Oct,23,Biweekly,15:30
2019,Oct,23,Monthly,15:30
2019,Nov,06,Biweekly,15:30
2019,Nov,18,Monthly,15:30
2019,Nov,20,Biweekly,15:30
2019,Dec,04,Biweekly,15:30
2019,Dec,17,Biweekly,15:30
2019,Dec,20,Monthly,15:30
