Year,Month,Day,Frequency,Due Time
2019,Jan,02,Biweekly,15:30
2019,Jan,15,Biweekly,15:30
2019,Jan,23,Monthly,15:30
2019,Jan,29,Biweekly,15:30
2019,Feb,12,Biweekly,15:30
2019,Feb,20,Monthly,15:30
2019,Feb,26,Biweekly,15:30
2019,Mar,12,Biweekly,15:30
2019,Mar,21,Monthly,15:30
2019,Mar,26,Biweekly,15:30
2019,Apr,09,Biweekly,15:30
2019,Apr,22,Monthly,15:30
2019,Apr,23,Biweekly,15:30
2019,May,07,Biweekly,15:30
2019,May,21,Biweekly,15:30
2019,May,22,Monthly,15:30
2019,Jun,04,Biweekly,15:30
2019,Jun,18,Biweekly,15:30
2019,Jun,20,Monthly,15:30
2019,Jul,02,Biweekly,15:30
2019,Jul,16,Biweekly,15:30
2019,Jul,23,Monthly,15:30
2019,Jul,30,Biweekly,15:30
2019,Aug,13,Biweekly,15:30
2019,Aug,21,Monthly,15:30
2019,Aug,27,Biweekly,15:30
2019,Sep,10,Biweekly,15:30
2019,Sep,20,Monthly,15:30
2019,Sep,24,Biweekly,15:30
2019,Oct,08,Biweekly,15:30
2019,Oct,22,Biweekly,15:30
2019,Oct,23,Monthly,15:30
2019,Nov,05,Biweekly,15:30
2019,Nov,18,Monthly,15:30
2019,Nov,19,Biweekly,15:30
2019,Dec,03,Biweekly,15:30
2019,Dec,16,Biweekly,15:30
2019,Dec,20,Monthly,15:30
2019,Dec,30,Biweekly,15:30
